Name,Catalog Number,Amount,Company,Vender,URL
220 Ohm 0.4W 1% RM2,02-05-97,1,YAG,RET,https://www.ret.hu/shop/product/yageo/220-ohm-0-4w-1-rm2_02-05-97
330 Ohm 1/4 W 5 % RM4,01-00-61,2,YAG,RET,https://www.ret.hu/shop/product/yageo/330-ohm-1-4w-5-rm4_01-00-61
1 kOhm 0.4W 1% RM2 ,02-06-13,1,YAG,RET,https://www.ret.hu/shop/product/yageo/1-kohm-0-4w-1-rm2_02-06-13
10 KOhm 0.4 W 1% RM2,02-06-37,2,YAG,RET,https://www.ret.hu/shop/product/yageo/10-kohm-0-4w-1-rm2_02-06-37
150 kOhm 3W `Y` 5% RM8,03-06-17,1,YAGEO,RET,https://www.ret.hu/shop/product/yageo/150-kohm-3w-y-5-rm8_03-06-17
2N 2222A *N 75/40 V 800 mA 500 mW TO-18,21-00-19,1,STM,RET,https://www.ret.hu/shop/product/sgs-thomson-microelectronics/2n-2222a-n_21-00-19
1N 4005 - DIOTEC,19-00-05,3,DIOTEC,RET,https://www.ret.hu/shop/product/diotec/1n-4005_19-00-05
"AC Solid State Relay for PCB mounting, SKA 11440",49-03-87,1,Celduc,RET,https://www.ret.hu/shop/product/celduc/ska-11440_49-03-87
"P2510I-02 BEULT. TUSKESOR 2-POLUSU RM=2,54mm I=3A EGYENES =CRS-2",53-12-44,6,TKP,RET,https://www.ret.hu/shop/product/taiwan-king-pin-terminal/p2510i-02_53-12-44
"H2510-02 LENGO ALJZAT 2-POLUSU RM=2,54mm I=3A. BETET NELKUL BETET: 53-12-55 =CRF-2",53-12-56,6,TKP,RET,https://www.ret.hu/shop/product/taiwan-king-pin-terminal/h2510-02_53-12-56
AKZ 250/3-5.08 - PTR MESSTECHNIK,53-05-15,5,PTR,RET,https://www.ret.hu/shop/product/ptr-messtechnik/akz-250-3-5-08_53-05-15
36G 2.54 mm header pin,53-03-04,1,ETEC,RET,https://www.ret.hu/shop/product/e-tec/36g-stiftleiste_53-03-27
Fuse socket 5 x 20 mm,51-01-42,1,Stelvio,RET,https://www.ret.hu/shop/product/stelvio/ptf-15-biztositek-foglalat_51-01-42
Fuse socket 6.3 x 32 mm,51-01-77,1,Puc,RET,https://www.ret.hu/shop/product/puschel/pl1375-biztositek-foglalat_51-01-77
FF 8.0 A 250V 5x20mm,54-02-48,1,ESKA,RET,https://www.ret.hu/shop/product/eska/ff-8-0-a-250v-5x20mm_54-02-48
"FF 1.6 A 500V 6,3x32mm keamia - ESKA",54-02-59,1,ESKA,RET,https://www.ret.hu/shop/product/eska/ff-1-6-a-500v-6-3x32mm-keramia_54-02-59
4N 25 - VISHAY (TEMIC),48-00-16,1,VIS,RET,https://www.ret.hu/shop/product/vishay-temic/4n-25_48-00-16
DIL6 IC socket,51-00-01,1,KAR,RET,https://www.ret.hu/shop/product/karson-technology/dil6-lemezes_51-00-01
DR 073 V0,65-04-01,4,FISCHER ELEKTRONIK,RET,https://www.ret.hu/shop/product/fischer-elektronik/dr-073-v0_65-04-01
Universal PCB board (200 x 100),75-00-13,1,RADM,RET,https://www.ret.hu/shop/product/rademacher/h25pr200_75-00-13
